t,z,authority_ratio,turns,release,valve,afilt,bhat,vz,state,itki,safety,thrust
0,0.4013,1.47858850882,0.1,0,0.3,0,14.5,0,0,0,0,0
0.01,0.40120419663,1.47858850882,0.1,0,0.3,-0.146480793317,14.5,-0.0183100991646,0,0,0,0.00493921242772
0.02,0.400953095317,1.47858850882,0.1,0,0.3,-0.234413963856,14.5,-0.0307665534152,0,0,0,0.00493921769247
0.03,0.400614077503,1.47858850882,0.1,0,0.3,-0.255524520811,14.5,-0.0357495126731,0,0,0,0.00493922250272
0.04,0.400263497413,1.47858850882,0.1,0,0.3,-0.214731550035,14.5,-0.0332056365343,1,0,0,0.00493922691061
0.05,0.399970268075,1.47858850882,0.1,0,0,-0.129015398043,14.5,-0.0246384330355,1,0,0,0.00493923096229
0.06,0.399782219509,1.47858850882,0.1,0,0,-0.0228045649035,14.5,-0.0126522328736,1,0,0,0.00493923469863
0.07,0.399718761282,1.47858850882,0.1,0,0,0.0786979652377,14.5,-0.000192462254947,1,0,0,0.00493923815582
0.08,0.399771353938,1.47858850882,0.1,0,0,0.155570196148,14.5,0.0102035462613,1,0,0,0.00493924136586
0.09,0.399910296082,1.47858850882,0.1,0,0,0.196637656917,14.5,0.0168926808188,1,0,0,0.00493924435711
0.1,0.400094675924,1.47858850882,0.1,0,0,0.199963985075,14.5,0.0192748484077,1,0,0,0.00493924715467
0.11,0.400282374973,1.47858850882,0.1,0,0,0.171154267646,14.5,0.0176732735799,1,0,0,0.00493924978076
0.12,0.40043804251,1.47858850882,0.1,0,0,0.120623913371,14.5,0.0130685219719,1,0,0,0.00493925225503
0.13,0.400538141386,1.47858850882,0.1,0,0,0.0607696991127,14.5,0.00679298432338,1,0,0,0.00493925459493
0.14,0.400573017642,1.47858850882,0.1,0,0,0.00354577268079,14.5,0.000247690510516,1,0,0,0.00493925681585
0.15,0.400546361898,1.47858850882,0.1,0,0,-0.0413925369427,14.5,-0.00533414046562,1,0,0,0.00493925893144
0.16,0.40047257829,1.47858850882,0.1,0,0,-0.0679494711896,14.5,-0.0090676826159,1,0,0,0.00493926095378
0.17,0.40037267616,1.47858850882,0.1,0,0,-0.0742009022879,14.5,-0.0105286062151,1,0,0,0.00493926289356
0.18,0.400269459229,1.47858850882,0.1,0,0,-0.0622656092161,14.5,-0.00977870360398,1,0,0,0.00493926476026
0.19,0.400182936276,1.47858850882,0.1,0,0,-0.0374239186134,14.5,-0.00729614837081,1,0,0,0.00493926656225
0.2,0.400126854281,1.47858850882,0.1,0,0,-0.00666568147723,14.5,-0.00382560791493,1,0,0,0.00493926830695
0.21,0.400106969714,1.47858850882,0.1,0,0,0.0229631439632,14.5,-0.000188661549644,1,0,0,0.00493927000091
0.22,0.400121199845,1.47858850882,0.1,0,0,0.0457910814384,14.5,0.00289446207439,1,0,0,0.00493927165002
0.23,0.400161320624,1.47858850882,0.1,0,0,0.0584193372191,14.5,0.00493090486136,1,0,0,0.00493927325935
0.24,0.400215577789,1.47858850882,0.1,0,0,0.059984269808,14.5,0.00571071480717,2,0,0,0.00493927483345
0.25,0.400271507604,1.47858850882,0.1,0,0.3,0.0518626826512,14.5,0.00529535911064,2,0,0,0.00493927637645
0.26,0.400318380868,1.47858850882,0.1,0,0.3,0.0370108381098,14.5,0.00395750536948,2,0,0,0.00493927789182
0.27,0.40034889496,1.47858850882,0.1,0,0.3,0.0191456989921,14.5,0.00209447136087,2,0,0,0.00493927938276
0.28,0.400359955732,1.47858850882,0.1,0,0.3,0.00194474741216,14.5,0.000135809403295,2,0,0,0.00493928085207
0.29,0.400352574423,1.47858850882,0.1,0,0.3,-0.0116098096619,14.5,-0.00153906275684,2,0,0,0.00493928230218
0.3,0.400331039988,1.47858850882,0.1,0,0.3,-0.0196637583161,14.5,-0.00266190443523,2,0,0,0.00493928373542
0.31,0.400301618424,1.47858850882,0.1,0,0.3,-0.0216627681329,14.5,-0.00310841824549,2,0,0,0.00493928515359
0.32,0.400271078096,1.47858850882,0.1,0,0.3,-0.0182648470891,14.5,-0.00290030579635,2,0,0,0.00493928655846
0.33,0.400245337808,1.47858850882,0.1,0,0.3,-0.0110380967624,14.5,-0.0021796104764,2,0,0,0.00493928795151
0.34,0.400228478035,1.47858850882,0.1,0,0.3,-0.00202573832456,14.5,-0.0011634466393,2,0,0,0.00493928933423
0.35,0.400222255237,1.47858850882,0.1,0,0.3,0.00671833453729,14.5,-9.06949148117e-05,2,0,0,0.00493929070765
0.36,0.400226138536,1.47858850882,0.1,0,0.3,0.0135249301383,14.5,0.000827312880689,2,0,0,0.00493929207289
0.37,0.40023777861,1.47858850882,0.1,0,0.3,0.0173661044569,14.5,0.00144270897189,2,0,0,0.00493929343089
0.38,0.400253746143,1.47858850882,0.1,0,0.3,0.0179445886566,14.5,0.00168868054143,2,0,0,0.0049392947824
0.39,0.400270352281,1.47858850882,0.157641,0,0.3,0.015628430066,14.5,0.00157860660417,2,0,0,0.00493929612835
0.4,0.400284381736,1.47858850882,0.215282,0,0.3,0.0112714600011,14.5,0.00119026964672,2,0,0,0.0049392974692
0.41,0.400362666835,1.47858850882,0.272923,0,0.3,0.122658123584,14.5,0.0152263171946,2,0,0,49.5997269337
0.42,0.400641010617,1.47858850882,0.272923,0,0.3,0.313548084176,14.5,0.0403141435045,2,0,0,98.9049967385
0.43,0.401187890841,1.47858850882,0.325936583731,0,0.3,0.508729740195,14.5,0.0678473313485,2,0,0,138.198196213
0.44,0.401949084709,1.47858850882,0.369695334925,0,0.3,0.580962310452,14.5,0.0819637000326,2,0,0,138.12612499
0.45,0.402813065779,1.47858850882,0.404199253581,0,0.3,0.593027240461,14.5,0.0892814393883,2,0,0,160.550216405
0.46,0.403721131272,1.47858850882,0.429448339699,0,0.3,0.559366886421,14.5,0.0910041675379,2,0,0,178.9854529
0.47,0.404621350726,1.47858850882,0.44544259328,0,0.3,0.490606521097,14.5,0.0880027907365,2,0,0,193.453080712
0.48,0.405471611869,1.47858850882,0.452182014323,0,0.3,0.39762729197,14.5,0.0812864523068,2,0,0,203.971752737
0.49,0.406238946577,1.47858850882,0.45323801671,0,0.3,0.288589235909,14.5,0.0716329682188,2,0,0,210.557836603
0.5,0.406896046312,1.47858850882,0.45323801671,0,0.3,0.167784758291,14.5,0.0594183008756,2,0,0,213.227274038
0.51,0.407419268964,1.47858850882,0.45323801671,0,0.3,0.0397110012597,14.5,0.0450869288296,2,0,0,213.497368878
0.52,0.407792549527,1.47858850882,0.45323801671,0,0.3,-0.0889024063034,14.5,0.0294073628968,2,0,0,213.322160069
0.53,0.408005209428,1.47858850882,0.45323801671,0,0.3,-0.212535102311,14.5,0.0130642518328,2,0,0,213.147002185
0.54,0.408053508546,1.47858850882,0.45323801671,0,0.3,-0.327060289802,14.5,-0.00337674762664,2,0,0,212.972003107
0.55,0.407939167681,1.47858850882,0.45323801671,0,0.3,-0.428831319112,14.5,-0.0193687291884,2,0,0,212.797170103
0.56,0.407669777231,1.47858850882,0.45323801671,0,0.3,-0.513708175412,14.5,-0.034266649417,2,0,0,212.622504597
0.57,0.407260280272,1.47858850882,0.45323801671,0,0.3,-0.576337929906,14.5,-0.0472324504829,2,0,0,212.448006905
0.58,0.406735167735,1.47858850882,0.45323801671,0,0.3,-0.609935664154,14.5,-0.0571955465629,2,0,0,212.273677007
0.59,0.406130546903,1.47858850882,0.45323801671,0,0.3,-0.607007249791,14.5,-0.0629288514091,2,0,0,212.099514774
0.6,0.405494619193,1.47858850882,0.45323801671,1,0.3,-0.561388375014,14.5,-0.0632965645599,2,0,0,211.92552004
0.61,0.404884847587,1.47858850882,0.45323801671,1,0.3,-0.471346709917,14.5,-0.057655240173,2,0,0,211.751692628
0.62,0.404360920051,1.47858850882,0.45323801671,1,0.3,-0.34245850226,14.5,-0.046257681315,2,0,0,211.578032355
0.63,0.403974658871,1.47858850882,0.45323801671,1,0.3,-0.188377672221,14.5,-0.0304221625827,3,0,0,211.404539039
0.64,0.403760118165,1.47858850882,0.45323801671,1,0.3,-0.0284597036205,14.5,-0.0123161932298,3,0,0,211.231212497
0.65,0.403727591564,1.47858850882,0.45323801671,1,0.3,0.116970307245,14.5,0.00557796109209,3,0,0,211.058052545
0.66,0.403863523101,1.47858850882,0.45323801671,1,0.3,0.231486034866,14.5,0.0210621301172,3,0,0,210.885059002
0.67,0.404135645435,1.47858850882,0.45323801671,1,0.3,0.305569497856,14.5,0.0326374233396,3,0,0,210.712231685
0.68,0.404500844176,1.47858850882,0.45323801671,1,0.3,0.337075259835,14.5,0.0396313385655,3,0,0,210.539570411
0.69,0.404913007883,1.47858850882,0.45323801671,1,0.3,0.32973424826,14.5,0.042084464717,3,0,0,210.367074999
0.7,0.405329041716,1.47858850882,0.45323801671,1,0.3,0.290822812244,14.5,0.0405178776976,3,0,0,210.194745265
0.71,0.405712451506,1.47858850882,0.45323801671,1,0.3,0.228975898351,14.5,0.0356952415834,3,0,0,210.02258103
0.72,0.406034822031,1.47858850882,0.45323801671,1,0.3,0.15266422655,14.5,0.0284460415918,3,0,0,209.85058211
0.73,0.406275920424,1.47858850882,0.45323801671,1,0.3,0.0694195182892,14.5,0.0195670953247,3,0,0,209.678748326
0.74,0.406423160353,1.47858850882,0.45323801671,1,0.33,-0.0143539331671,14.5,0.00978960907558,3,0,0,209.507079495
